instruction,response,passage_sha256,stratum,source_file,chunk_index,example_type,tag,example_id
"Based only on the passage, how does the author explain that primitive practices like eating aged parents could have been considered morally right?","The author explains that primitive man may have thought it right (useful to the race) to eat aged parents when they became a heavy charge upon the community. In the Stone Age, with limited means of subsistence, half-savage man faced a choice between two evils: either eat the aged parents or have everyone receive insufficient nourishment, leaving them unable to feed both aged parents and young children. In those circumstances, such reasoning may have been considered correct.",513a942465feee5aeb06a50f9a7b4682f94ac2cd9c81faa38e0cf32a830318b3,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_005_iv.txt,2,grounded,NA,ex_11
"According to the passage only, what single principle does the author say summarizes the morality of the entire animal kingdom?","The author states that the morality emerging from observation of the whole animal kingdom can be summed up as: ""Do to others what you would have them do to you in the same circumstances."" The author adds that this is advice born from the long experience of animals in society, and without this principle no society could exist nor could any race have overcome natural obstacles.",513a942465feee5aeb06a50f9a7b4682f94ac2cd9c81faa38e0cf32a830318b3,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_005_iv.txt,2,grounded,NA,ex_12
"Based only on the passage, what does Adam Smith identify as the true origin of the moral sentiment in his work 'The Theory of Moral Sentiment'?","Adam Smith identifies the feeling of sympathy as the true origin of the moral sentiment. He does not seek it in mystic religious feelings, but finds it simply in this natural human capacity to feel what others feel.",2126f73fe5023789519e0e884fa2d5ee429d8bfa46613ed4302012a18ba9a00e,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_006_v.txt,1,grounded,NA,ex_13
"Using only the passage, explain how the passage criticizes the Utilitarian explanation of morality.","The passage states that Utilitarians claim man acts morally from self-interest, but they forget his feelings of solidarity with the whole race. While acknowledging there is some truth in the Utilitarian explanation, the passage argues it is not the whole truth.",2126f73fe5023789519e0e884fa2d5ee429d8bfa46613ed4302012a18ba9a00e,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_006_v.txt,1,grounded,NA,ex_14
"According to the passage only, what does man generally consider as 'good' and 'evil'?","Man considers as good that which is useful to the society wherein he lives, and as evil that which is hurtful to it. This conception exists within humanity itself, though it may sometimes be so vague it can scarcely be distinguished from a feeling.",2126f73fe5023789519e0e884fa2d5ee429d8bfa46613ed4302012a18ba9a00e,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_006_v.txt,1,grounded,NA,ex_15
"Based only on the passage, what did Adam Smith fail to understand according to the author?",Adam Smith's only mistake was not understanding that the feeling of sympathy in its habitual stage exists among animals as well as among men.,a15278cd1da2a81f71ef6d697c5aeb5e1a842e4cb36497522de3c6567092eb58,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_006_v.txt,2,grounded,NA,ex_16
"Using only the passage, explain what happens when an animal society loses its feeling of solidarity.","When an animal society loses its feeling of solidarity, the two factors of progress—courage and individual initiative—diminish and eventually disappear. The society then falls into decay and sinks before its foes, leading to certain defeat.",a15278cd1da2a81f71ef6d697c5aeb5e1a842e4cb36497522de3c6567092eb58,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_006_v.txt,2,grounded,NA,ex_17
"According to the passage only, how does the author explain the origin of the moral sentiment?","The author explains that the feeling of solidarity acted during millions of ages since animal life began, gradually becoming a habit transmitted by heredity from the simplest microscopic organisms to their descendants—insects, birds, reptiles, mammals, and man. This is how moral sentiment originated, becoming a necessity to animals like food or digestive organs.",a15278cd1da2a81f71ef6d697c5aeb5e1a842e4cb36497522de3c6567092eb58,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_006_v.txt,2,grounded,NA,ex_18
"Using only the passage, explain how the principle of solidarity relates to the development of the animal kingdom according to the author.","The author argues that solidarity, expressed as treating others as you would like to be treated, has played an infinitely larger part in the development of the animal kingdom than adaptations resulting from individual struggle for personal advantages. This principle enabled humans to preserve their race amid natural obstacles and develop intelligence.",97f77c648b2034f7556e05d4beb66350af319762c9e4b6c0bacfd0846393d35f,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_007_vi.txt,1,grounded,NA,ex_19
"Based only on the passage, how does the author connect the principle of equality to anarchism?","The author states that the principle of treating others as one wishes to be treated is the same as equality, which is the fundamental principle of anarchism. By not wishing to be ruled, deceived, or have labor stolen, anarchists declare they will not rule, deceive, or steal from others. Equality in mutual relations with solidarity is described as equity, and equality in all things is anarchism in deed.",97f77c648b2034f7556e05d4beb66350af319762c9e4b6c0bacfd0846393d35f,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_007_vi.txt,1,grounded,NA,ex_20
"According to the passage only, what is the author's view on how law, religion, and authority have used the moral principle of solidarity?","The author claims that law, religion, and authority have ""filched"" or stolen the principle of solidarity to cloak their own purposes—specifically to benefit conquerors, exploiters, and priests. They covered themselves with this principle like a garment, and authority used it to pose as protector of the weak. The author argues mankind must regain this moral principle and purge it from the adulterations these institutions have poisoned it with.",97f77c648b2034f7556e05d4beb66350af319762c9e4b6c0bacfd0846393d35f,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_007_vi.txt,1,grounded,NA,ex_21
"Based only on the passage, explain why Kropotkin argues that Anarchism did not develop out of science or universities.","Kropotkin argues that the social sciences are still far from being as exact as physics and chemistry, making them unable to predict social events with certainty. Additionally, he notes that most scientists belong to the possessing classes and are steeped in class prejudices, or are in service of the government. Therefore, Anarchism was born among the people rather than from universities or philosophical schools.",cf7c27c0ba9d28fe42fd9e10308290147fe59c9c70ea73a23a59fbf06c40b25b,mutual_aid,kropotkin_corpus/essays/modern_science_and_anarchism/section_001_full_text.txt,1,grounded,NA,ex_22
"Using only the passage, describe the two fundamental tendencies at war in human society according to Kropotkin.","The first tendency is the popular-creative power of the masses, who developed customs and institutions necessary for social life, peace, dispute settlement, and mutual aid. The second tendency consists of sorcerers, prophets, priests, and military leaders who sought to establish authority over the people, hold them in subjection, and compel them to work for the masters. Anarchism represents the first tendency while governmentalists represent the second.",cf7c27c0ba9d28fe42fd9e10308290147fe59c9c70ea73a23a59fbf06c40b25b,mutual_aid,kropotkin_corpus/essays/modern_science_and_anarchism/section_001_full_text.txt,1,grounded,NA,ex_23
"According to the passage only, what happens to institutions over time and how do people respond?","Even institutions originally established to secure equality, peace, and mutual aid become petrified over time, lose their original meaning, come under control of the ruling minority, and become constraints on individual development. In response, some people rise against these institutions to enrich themselves at others' expense, while others aim to modify institutions in the interest of all and shake off oppressive authority. The latter group includes reformers and revolutionists.",cf7c27c0ba9d28fe42fd9e10308290147fe59c9c70ea73a23a59fbf06c40b25b,mutual_aid,kropotkin_corpus/essays/modern_science_and_anarchism/section_001_full_text.txt,1,grounded,NA,ex_24
"Using only the passage, explain how the passage describes the relationship between molecular vibrations and larger cosmic phenomena.","The passage states that the mass movements of heavenly bodies through space, governed by laws of universal gravitation, likely represent nothing more than the resultants of vibrations of light and electricity transmitted for billions and trillions of miles through interstellar space.",747dd907b27d1e911dbdbceed9809685823afcb2c5e8951bdb1c6e4d4521d501,mutual_aid,kropotkin_corpus/essays/modern_science_and_anarchism/section_001_full_text.txt,8,grounded,NA,ex_25
"Based only on the passage, what answer does science give to the question of who should study psychology and by what method?","Science answered that psychology should be studied by physiologists, using the physiological method. The passage notes that recent labors of physiologists have shed more light on the mechanism of thought, the awakening of impressions, their retention and transmission, than centuries of metaphysical speculation.",747dd907b27d1e911dbdbceed9809685823afcb2c5e8951bdb1c6e4d4521d501,mutual_aid,kropotkin_corpus/essays/modern_science_and_anarchism/section_001_full_text.txt,8,grounded,NA,ex_26
"According to the passage only, what did Lamarck argue about existing species of plants and animals?","Lamarck maintained that existing species of plants and animals are not fixed forms but are variable and continue to vary. He pointed out that family likeness between groups of forms is proof of their common descent from a common ancestry, using examples like various buttercups descending from one common type of ancestors.",747dd907b27d1e911dbdbceed9809685823afcb2c5e8951bdb1c6e4d4521d501,mutual_aid,kropotkin_corpus/essays/modern_science_and_anarchism/section_001_full_text.txt,8,grounded,NA,ex_27
"Based only on the passage, what three principles does the author suggest society should be reconstructed upon?","The author suggests society should be reconstructed on the basis of equality, the complete freedom of the individual, and fraternity among all men.",ef607f7e1b81da4f87f2ccc68cc8f3a542ca7247da4cee66aefceec56c9209d5,mutual_aid,kropotkin_corpus/essays/the_effects_of_persecution/section_001_full_text.txt,2,grounded,NA,ex_28
"Using only the passage, what questions does the author raise about whether workers and peasants have been influenced by those in power?","The author questions whether peasants and workers have been fooled by scholars, priests, journalists, admirers of power, and others maintained by the state into maintaining faith in governmental Jacobinism, rather than finding the road to liberation from capital and the state.",ef607f7e1b81da4f87f2ccc68cc8f3a542ca7247da4cee66aefceec56c9209d5,mutual_aid,kropotkin_corpus/essays/the_effects_of_persecution/section_001_full_text.txt,2,grounded,NA,ex_29
"According to the passage only, what locations are mentioned as examples of massacres, and what point is the author making by referencing them?","The passage mentions massacres at Fourmies, Berlin, Chicago, and Vienna. The author uses these examples to ask whether workers feel solidarity for the oppressed internationally, questioning if their hearts bleed equally for massacres regardless of location.",ef607f7e1b81da4f87f2ccc68cc8f3a542ca7247da4cee66aefceec56c9209d5,mutual_aid,kropotkin_corpus/essays/the_effects_of_persecution/section_001_full_text.txt,2,grounded,NA,ex_30
"Using only the passage, explain the argument made about how the European railway network was developed.","The passage argues that the European railway network was constructed through small isolated branches that were gradually connected, resulting from understanding between twenty different companies rather than central planning. Despite initial friction between companies, this spontaneous cooperation by interested parties was more effective than waiting for a conqueror to trace lines and regulate trains. The author states we would still be in the days of stage-coaches if we had waited for centralized control.",9eaacb8ce285a2acd3397305500f66c6dd9168b57402fda5ba16b227d6d85114,mutual_aid,kropotkin_corpus/essays/the_place_of_anarchism_in_socialistic_evolution/section_002_part.txt,3,grounded,NA,ex_31
"Based only on the passage, what examples does the author give of enterprises that developed without state control?","The author cites several examples: the Suez Canal, Atlantic steamer lines, telegraph connections to North and South America, and commercial organization that provides bread at bakeries and meat at butchers. The author also mentions numerous associations for study, commerce, pleasure, recreation, propagation of universal language, short-hand writing, defense of the English coast, and avoidance of lawsuits. Even the Red Cross Society is cited as an example the State relies upon for caring for war wounded.",9eaacb8ce285a2acd3397305500f66c6dd9168b57402fda5ba16b227d6d85114,mutual_aid,kropotkin_corpus/essays/the_place_of_anarchism_in_socialistic_evolution/section_002_part.txt,3,grounded,NA,ex_32
"Using only the passage, describe the author's vision for how society should be organized in the future.","The author envisions millions of groups freely constituting themselves to satisfy varied human needs. Some groups would be organized by quarter, street, and house, while others would extend across cities, frontiers, and oceans. These groups would be composed of people who combine freely, perform productive labor, then meet for consumption, producing art or luxury objects, or advancing science. The author advocates developing this tendency freely without governmental interference, contrasting it with industrial barracks or Authoritarian Communism.",9eaacb8ce285a2acd3397305500f66c6dd9168b57402fda5ba16b227d6d85114,mutual_aid,kropotkin_corpus/essays/the_place_of_anarchism_in_socialistic_evolution/section_002_part.txt,3,grounded,NA,ex_33
"Based only on the passage, explain why the author argues against entrusting people with governing power.","The author argues that because men are not angels, they should not be entrusted with governing others. Even a despicable minister might have been an excellent man if power had not been given to him. The solution proposed is to arrange society so that each person's interest is bound up with the interests of others, eliminating the need to fear evil passions.",5705eda91e8e115c1e15c7da26555eb20ad752b7b4d28d9218a5e1c39f94c333,mutual_aid,kropotkin_corpus/essays/the_place_of_anarchism_in_socialistic_evolution/section_003_part.txt,3,grounded,NA,ex_34
"Using only the passage, describe what the author claims will remain even if a revolution fails to fully achieve its ideal.","The author states that all progress made in the direction of the ideal will remain, while anything done in a contrary direction will be doomed to disappear. Even a vanquished popular revolution furnishes a motto for the evolution of the succeeding century, as demonstrated by examples like the abolition of serfdom and the rise of representative government after France's defeat in 1815.",5705eda91e8e115c1e15c7da26555eb20ad752b7b4d28d9218a5e1c39f94c333,mutual_aid,kropotkin_corpus/essays/the_place_of_anarchism_in_socialistic_evolution/section_003_part.txt,3,grounded,NA,ex_35
"According to the passage only, what does Anarchist Communism sum up and guarantee?","Anarchist Communism sums up all that is most beautiful and most durable in the progress of humanity: the sentiment of justice, the sentiment of liberty, and solidarity or community of interest. It guarantees the free evolution of both the individual and of society.",5705eda91e8e115c1e15c7da26555eb20ad752b7b4d28d9218a5e1c39f94c333,mutual_aid,kropotkin_corpus/essays/the_place_of_anarchism_in_socialistic_evolution/section_003_part.txt,3,grounded,NA,ex_36
"Using only the passage, explain why Kropotkin's lectures in Paris were never delivered.","The lectures were never delivered because Kropotkin's departure for Paris coincided with the Russian heir's visit to Nice, where he was to be welcomed by top government representatives. Due to the close Franco-Russian military alliance, French authorities could not risk demonstrations at Kropotkin's lecture, which was expected to attract 4000-5000 people. When Kropotkin arrived by boat at Dieppe, police detained him, informed him he was expelled from France, and required him to return immediately.",23b3bb48a5b2fcb8e681da91a94db55f3ab8da41e2d70b1e391cc3435a719181,mutual_aid,kropotkin_corpus/essays/the_state_its_historic_role/section_001_full_text.txt,1,grounded,NA,ex_37
"Based only on the passage, what research led Kropotkin to develop his lecture on The State: Its Historic Role?","Kropotkin's research into the institutions of the barbarian period and the free cities of the Middle Ages led him to further investigate the role played by the State during the last three centuries, from the time of its last incarnation in Europe. Additionally, his study of institutions of mutual aid across different periods of civilization prompted him to inquire into how ideas of justice and morality developed in human society.",23b3bb48a5b2fcb8e681da91a94db55f3ab8da41e2d70b1e391cc3435a719181,mutual_aid,kropotkin_corpus/essays/the_state_its_historic_role/section_001_full_text.txt,1,grounded,NA,ex_38
"Using only the passage, describe the incident between Kropotkin and the French police superintendent at Dieppe.","The police superintendent, who introduced himself as Monsieur Merdes ('of Spanish descent'), read a telegram from Prime Minister Bourgeois stating Kropotkin was expelled and must return by the first boat or face administrative custody. Kropotkin asked to return the next day due to rough seas and his recent illness, but was told he must leave immediately by night boat or go to prison. Authorities spent hours telegraphing across France to determine if he could stay at a hotel with police guards. Eventually the Minister allowed him to stay at a hotel, but Kropotkin chose to return by night boat anyway.",23b3bb48a5b2fcb8e681da91a94db55f3ab8da41e2d70b1e391cc3435a719181,mutual_aid,kropotkin_corpus/essays/the_state_its_historic_role/section_001_full_text.txt,1,grounded,NA,ex_39
"Based only on the passage, explain how primitive people viewed the act of spilling blood and what consequences it carried.",Primitive people hated murder and blood. Spilling blood was considered such a grave matter that every drop spilled—not only human blood but also that of some animals—required that the aggressor lose an equal amount of his own blood.,2feefdda458ce6f90363092297185309530cc9593209053213926cca731eab75,mutual_aid,kropotkin_corpus/essays/the_state_its_historic_role/section_001_full_text.txt,5,grounded,NA,ex_40
"Using only the passage, describe what precautions were taken when tribes of different origins encountered each other, and why these weren't always sufficient.","When different tribes met, tradition developed germs of what became International Law. For example, a village could not be attacked without warning inhabitants, no one would kill on paths used by women to reach springs, and making peace often required balancing the numbers of men killed on both sides. However, these precautions were not enough because solidarity did not extend beyond the clan or tribe, so quarrels between different clans could still end in violence and murder.",2feefdda458ce6f90363092297185309530cc9593209053213926cca731eab75,mutual_aid,kropotkin_corpus/essays/the_state_its_historic_role/section_001_full_text.txt,5,grounded,NA,ex_41
"According to the passage only, what types of temporary leaders existed in primitive society and how did they gain influence?","Primitive society had several types of temporary leaders: sorcerers and rain-makers who sought to dominate by using their knowledge of nature; those who could memorize proverbs and songs containing tradition and past decisions, who became influential by reciting these at festivals; and the courageous, daring, and prudent who became temporary leaders during struggles with other tribes or migrations. Some 'educated' members also sought dominance by communicating their knowledge only to chosen initiates.",2feefdda458ce6f90363092297185309530cc9593209053213926cca731eab75,mutual_aid,kropotkin_corpus/essays/the_state_its_historic_role/section_001_full_text.txt,5,grounded,NA,ex_42
"Using only the passage, explain what the Agricultural Commissions of 1901 revealed about Russian public opinion.","The Agricultural Commissions convoked by Minister of Finances Witte in thirty-four provinces showed that both landlords and peasants openly declared Russia could not remain under the police rule system established by Alexander III. They stated that equal rights for all subjects, political liberties, and constitutional guarantees were urgent necessities.",a52b0b3361019dd58738f359f2a79dae39fc767c8145e2b62e1cbc14560dd287,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_005_western_europe_352.txt,6,grounded,NA,ex_43
"Based only on the passage, describe Von Plehwe's role and actions as Minister of Interior.","Von Plehwe was called to head the Ministry of Interior after Nicholas II disowned Witte. He undertook to maintain autocracy for ten years more with full powers and plenty of money. He used this money to organize 'pogroms' (massacres of Jews), placed all Russia under police rule, and according to Prince Meschersky, pushed Nicholas II into the war with Japan as a last resort for the decaying Imperial power. Over 30,000 persons were deported under his rule. He was killed in July 1904.",a52b0b3361019dd58738f359f2a79dae39fc767c8145e2b62e1cbc14560dd287,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_005_western_europe_352.txt,6,grounded,NA,ex_44
"Using only the passage, what happened after Plehwe's death regarding the position of Minister of Interior and the Zemstvos?","After Plehwe's death, the system of police rule was defeated and for six weeks nobody would agree to become Minister of Interior. Prince Svyatopolk-Mirsky eventually accepted the position under the condition that representatives of all Zemstvos would be convoked to work out a scheme of national representation. A Congress of Zemstvos was allowed to meet unofficially at Moscow in December 1904, where they demanded constitutional guarantees in a Memorandum signed by 102 of 104 representatives.",a52b0b3361019dd58738f359f2a79dae39fc767c8145e2b62e1cbc14560dd287,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_005_western_europe_352.txt,6,grounded,NA,ex_45
"Using only the passage, describe what happened during the general strike in St. Petersburg and how different groups participated.","During the strike, St. Petersburg experienced no gas, electric light, tramways, water, cabs, post, or telegraphs. Factories were silent and the city was dark. The enthusiasm spread from poorer classes to others - shop assistants, bank clerks, teachers, actors, lawyers, chemists, and even judges joined the strike. Committees of Labour Representatives formed and were obeyed by crowds of 300,000 in the streets. The strikers maintained strict order, offering no opportunity for military intervention.",dfad349ef270e33ca287ee9769aa034933aaa1354cfa559c054260bf3c58d14b,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_005_western_europe_352.txt,8,grounded,NA,ex_46
"Based only on the passage, what promises did Nicholas II make in the constitutional manifesto of October 30th, and what happened to these promises?","Nicholas II declared his 'inflexible will' to grant civic liberty based on inviolability of person, conscience, speech, union, and association. He ordered election of a State's Duma and promised no law could come into force without the Duma's approval, with people's representatives having real participation in supervising the legality of Crown-appointed authorities' acts. Two days later he also granted almost general amnesty for political offenders. However, these promises were soon broken in many important points.",dfad349ef270e33ca287ee9769aa034933aaa1354cfa559c054260bf3c58d14b,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_005_western_europe_352.txt,8,grounded,NA,ex_47
"Using only the passage, explain what the Monarchist party and certain officials planned while crowds were celebrating the constitutional manifesto.","According to an official document (the Lopukhin report), while crowds jubilated in the streets, the Monarchist party organized hired bands to slaughter the celebrating crowds. Gendarme officers printed appeals calling for massacre of intellectuals and Jews, claiming they were Japanese and English hirelings. Two bishops called on 'true Russians' to put down intellectuals by force. Prince Meschersky confessed there was a settled plan among St. Petersburg rulers to provoke insurrection, drown it in blood, and let the Duma die before it was born to return to the old regime.",dfad349ef270e33ca287ee9769aa034933aaa1354cfa559c054260bf3c58d14b,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_005_western_europe_352.txt,8,grounded,NA,ex_48
"Based only on the passage, explain why the author felt grateful that his proposal was not accepted by his comrades.",The author felt grateful because going in that direction would not have been true to his own nature. He believed he would not have found the personal happiness he later discovered by following other paths more suited to himself.,456001c26a5755c4158a555444ca2f8edd70bfa8e6b0b86f8b66dadd49183c62,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_006_all_three_had_entirely_won_the_hearts_of_the_paris_workers_and.txt,13,grounded,NA,ex_49
"Using only the passage, describe how the Tchaykovsky circle prevented an assassination attempt on Alexander II.","When a young man from the southern provinces came to St. Petersburg with the firm intention of killing Alexander II, members of the Tchaykovsky circle tried to dissuade him with arguments. When he refused to be dissuaded, they informed him they would keep watch over him and prevent him by force from making any such attempt, thereby saving the Tsar's life.",456001c26a5755c4158a555444ca2f8edd70bfa8e6b0b86f8b66dadd49183c62,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_006_all_three_had_entirely_won_the_hearts_of_the_paris_workers_and.txt,13,grounded,NA,ex_50
"According to the passage only, what was the socialist watchword regarding political strategy at that time?","The watchword was to prepare a great socialist mass movement amongst the workers and peasants in Russia, rather than troubling about the Tsar. The belief was that if peasants joined a mass movement to claim land and abolish serfdom redemption taxes, the imperial power would be compelled to seek support from moneyed classes and landlords and convoke a Parliament, similar to how the peasant insurrection in France in 1789 forced the royal power to convoke the National Assembly.",456001c26a5755c4158a555444ca2f8edd70bfa8e6b0b86f8b66dadd49183c62,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_006_all_three_had_entirely_won_the_hearts_of_the_paris_workers_and.txt,13,grounded,NA,ex_51
"Using only the passage, describe the brother's actions after learning about the narrator's arrest.","Upon learning of the arrest, Alexander immediately left everything—his life's work and his freedom—and returned to St. Petersburg, which he disliked, solely to help his brother through imprisonment. He worked to obtain permission for the narrator to resume writing by turning the whole scientific world in St. Petersburg upside down and getting the Academy of Sciences interested in supporting his application.",f4747a3e5d78633805a00f71a86ccac30494fba8486a1c3f30836eede02e24bd,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_006_all_three_had_entirely_won_the_hearts_of_the_paris_workers_and.txt,26,grounded,NA,ex_52
"Based only on the passage, what permission did Alexander II grant to the narrator, and what restriction was placed on it?","Alexander II permitted the narrator to complete his report to the Geographical Society and allowed him pen and ink for that purpose. However, the restriction was that he could only use these writing materials 'till sunset,' which in St. Petersburg winter meant only until three in the afternoon.",f4747a3e5d78633805a00f71a86ccac30494fba8486a1c3f30836eede02e24bd,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_006_all_three_had_entirely_won_the_hearts_of_the_paris_workers_and.txt,26,grounded,NA,ex_53
"According to the passage only, what scientific work was the narrator working on while imprisoned, and what resources were provided to him?","The narrator was working on a book about the glacial period, which included a report of his explorations in Finland and a discussion of the bases of the glacial hypothesis. The Academy of Sciences provided its library, and his cell filled with books and maps including Swedish Geological Survey publications, reports of Arctic travels, and sets of the Quarterly Journal of the London Geological Society.",f4747a3e5d78633805a00f71a86ccac30494fba8486a1c3f30836eede02e24bd,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_006_all_three_had_entirely_won_the_hearts_of_the_paris_workers_and.txt,26,grounded,NA,ex_54
"Using only the passage, describe the circumstances under which Costa and a French comrade were arrested in 1878.","In April 1878, Costa and a French comrade were arrested one night. A police-court condemned them to imprisonment for eighteen months as Internationalists. The narrator escaped arrest only by mistake because the police wanted Levashóff but went to arrest a Russian student whose name sounded very similar.",b6d69b284e12ce12e0830e581faff3be7c176f7a0b877b86cc8e92561f5afd42,mutual_aid,kropotkin_corpus/memoir/memoirs_of_a_revolutionist/chapter_007_all_shades_of_revolutionary_opinion_blanquists_jacobinists.txt,3,grounded,NA,ex_55
